Gene	SigProbes	Scaffold	Start	End	Strand
CGI_10022372	30	scaffold1710	602742	700546	1
CGI_10023136	28	scaffold58	135138	172120	1
CGI_10012796	24	scaffold1237	200980	293560	1
CGI_10006476	21	scaffold42246	61481	100048	-1
CGI_10019155	20	scaffold942	166859	210633	1
CGI_10027815	19	scaffold198	531542	554203	1
CGI_10025876	18	scaffold733	407619	548638	1
CGI_10004002	17	scaffold40282	55091	83549	1
CGI_10006142	17	scaffold1656	45907	74911	-1
CGI_10007364	17	scaffold828	15085	79014	-1
CGI_10006246	15	scaffold42144	8140	67657	1
CGI_10020838	15	scaffold1244	508938	635898	-1
CGI_10022593	15	scaffold351	113760	136400	-1
CGI_10007171	14	scaffold1264	41236	82741	1
CGI_10022093	14	scaffold394	548658	560561	1
CGI_10006698	13	scaffold42326	118399	155714	-1
CGI_10009387	13	scaffold521	108014	132801	1
CGI_10011254	13	scaffold230	249649	284875	-1
CGI_10012317	13	scaffold477	196136	223156	-1
CGI_10018592	13	scaffold247	138499	148449	1
CGI_10018629	13	scaffold163	439738	483510	1
CGI_10027183	13	scaffold1599	1163879	1191199	1
CGI_10027225	13	scaffold481	564527	581694	-1
CGI_10009564	12	scaffold1627	118593	141645	-1
CGI_10009863	12	scaffold1663	14275	34810	-1
CGI_10017800	12	scaffold1518	209347	219718	1
CGI_10024204	12	scaffold392	172998	183271	1
CGI_10024919	12	scaffold146	671163	749128	-1
CGI_10027295	12	scaffold3	612210	632275	1
CGI_10007683	11	scaffold1081	67446	104668	1
CGI_10011828	11	scaffold1235	16837	35725	-1
CGI_10013340	11	scaffold1894	214043	252780	1
CGI_10013783	11	scaffold1409	123560	154776	-1
CGI_10016209	11	scaffold588	26826	75048	1
CGI_10023840	11	scaffold406	128241	152323	-1
CGI_10004777	10	scaffold41162	72852	107906	1
CGI_10004826	10	scaffold178	58024	93952	-1
CGI_10006223	10	scaffold200	27354	40232	1
CGI_10006286	10	scaffold1166	63536	84545	1
