Gene	SigProbes	Scaffold	Start	End	Strand
CGI_10024086	12	scaffold801	337024	342103	-1
CGI_10016808	9	scaffold556	381055	462901	-1
CGI_10008268	8	scaffold1841	48203	73597	-1
CGI_10017916	8	scaffold1866	291470	313994	1
CGI_10022372	8	scaffold1710	602742	700546	1
CGI_10023873	8	scaffold406	780190	806574	-1
CGI_10003625	7	scaffold1818	7577	57224	-1
CGI_10007181	7	scaffold1872	15235	46149	1
CGI_10015914	7	scaffold1849	72001	112634	-1
CGI_10023874	7	scaffold406	788733	806403	1
CGI_10025480	7	scaffold1188	467192	485295	1
CGI_10009404	6	scaffold76	170017	218588	1
CGI_10012609	6	scaffold186	87308	120464	1
CGI_10012864	6	scaffold1533	1485	40419	1
CGI_10013766	6	scaffold510	59689	84499	1
CGI_10015202	6	scaffold1665	146782	159312	1
CGI_10016756	6	scaffold44064	120842	137443	-1
CGI_10018531	6	scaffold290	50430	74485	1
CGI_10018675	6	scaffold189	162558	221166	-1
CGI_10023650	6	scaffold583	823802	847792	1
CGI_10003397	5	scaffold39472	35257	64378	1
CGI_10005796	5	scaffold41890	22909	67044	-1
CGI_10007104	5	scaffold42516	34846	45955	-1
CGI_10007792	5	scaffold1155	26555	57884	1
CGI_10007930	5	scaffold42850	164442	194169	1
CGI_10008447	5	scaffold43038	120050	147377	1
CGI_10009400	5	scaffold76	117906	157990	-1
CGI_10010225	5	scaffold43442	11443	33732	1
CGI_10011105	5	scaffold340	200937	217275	-1
CGI_10013544	5	scaffold1865	222891	260212	-1
CGI_10013565	5	scaffold1673	726	32015	-1
CGI_10013830	5	scaffold1447	300093	325572	-1
CGI_10015282	5	scaffold44008	36940	63806	-1
CGI_10015414	5	scaffold1469	117979	165008	1
CGI_10015580	5	scaffold44006	227355	241371	-1
CGI_10015716	5	scaffold62	267292	296927	1
CGI_10015804	5	scaffold227	37235	57992	-1
CGI_10015805	5	scaffold227	42711	57979	1
CGI_10015915	5	scaffold1849	84819	107525	1
CGI_10016397	5	scaffold1800	1	94076	1
CGI_10017125	5	scaffold1397	393954	427485	-1
CGI_10017126	5	scaffold1397	409059	426588	1
CGI_10019846	5	scaffold563	541480	589820	1
CGI_10022448	5	scaffold496	181480	267652	-1
CGI_10022699	5	scaffold364	492619	513143	-1
CGI_10022974	5	scaffold348	203032	218386	1
CGI_10024469	5	scaffold271	301334	322950	-1
CGI_10025876	5	scaffold733	407619	548638	1
CGI_10027762	5	scaffold1301	1139816	1161568	1
CGI_10028233	5	scaffold1532	66061	101808	1
CGI_10003267	4	scaffold39258	54381	67910	-1
CGI_10004060	4	scaffold1559	27881	53702	1
CGI_10004197	4	scaffold40534	1	46942	1
CGI_10005087	4	scaffold1467	55462	88462	-1
CGI_10005126	4	scaffold41480	8841	73363	1
CGI_10005407	4	scaffold488	23091	54480	-1
CGI_10006733	4	scaffold42380	127368	141360	-1
CGI_10006978	4	scaffold42486	60068	88449	1
CGI_10007224	4	scaffold1859	1	27981	1
CGI_10007801	4	scaffold1508	30674	72423	-1
CGI_10007991	4	scaffold42866	42150	93731	1
CGI_10008780	4	scaffold110	128432	174946	1
CGI_10009002	4	scaffold43136	63660	76086	-1
CGI_10009567	4	scaffold1627	173064	219682	-1
CGI_10009641	4	scaffold43290	111485	137096	-1
CGI_10009672	4	scaffold1333	338	24548	-1
CGI_10009874	4	scaffold43364	182799	209391	1
CGI_10010174	4	scaffold1704	220503	251055	1
CGI_10010305	4	scaffold43426	169878	177180	-1
CGI_10010674	4	scaffold1608	59235	70733	-1
CGI_10010857	4	scaffold43536	129106	164464	1
CGI_10010897	4	scaffold793	187335	208073	1
CGI_10011127	4	scaffold43576	56651	67123	-1
CGI_10011947	4	scaffold1720	159591	212734	-1
CGI_10012186	4	scaffold722	681	45793	-1
CGI_10012201	4	scaffold722	213107	275814	-1
CGI_10012431	4	scaffold498	227451	286019	1
CGI_10012432	4	scaffold498	279312	295271	-1
CGI_10012926	4	scaffold5	73774	91233	1
CGI_10012987	4	scaffold1328	107115	121166	-1
CGI_10013185	4	scaffold1870	171421	191977	-1
CGI_10013809	4	scaffold1827	310035	355687	-1
CGI_10014333	4	scaffold1611	335434	352546	-1
CGI_10014555	4	scaffold1780	252105	265653	-1
CGI_10015552	4	scaffold1901	225422	237696	-1
CGI_10015607	4	scaffold1711	278894	293275	1
CGI_10015785	4	scaffold1329	142370	181575	-1
CGI_10015851	4	scaffold987	295330	356695	1
CGI_10016209	4	scaffold588	26826	75048	1
CGI_10016287	4	scaffold1345	363757	381659	-1
CGI_10016755	4	scaffold44064	103624	120677	1
CGI_10016806	4	scaffold556	272202	381485	-1
CGI_10017281	4	scaffold63	406163	426324	-1
CGI_10017514	4	scaffold853	410154	430281	1
CGI_10018061	4	scaffold1255	106102	122148	1
CGI_10018143	4	scaffold236	285300	303909	-1
CGI_10018522	4	scaffold472	426321	447154	-1
CGI_10019315	4	scaffold363	571459	589785	1
CGI_10019459	4	scaffold445	591368	601001	1
CGI_10019628	4	scaffold1889	561057	574839	1
CGI_10019921	4	scaffold1788	199768	269132	1
CGI_10019934	4	scaffold1788	490493	510949	1
CGI_10020387	4	scaffold1104	451294	465824	1
CGI_10021117	4	scaffold610	373045	383308	-1
CGI_10021214	4	scaffold99	590642	622309	1
CGI_10021233	4	scaffold157	142536	202006	1
CGI_10022079	4	scaffold394	305050	351201	-1
CGI_10023113	4	scaffold432	633889	649322	1
CGI_10024044	4	scaffold1741	528998	556087	1
CGI_10024688	4	scaffold469	596386	616988	1
CGI_10027745	4	scaffold1301	820116	856956	1
CGI_10028231	4	scaffold1532	5946	21540	1
CGI_10028693	4	scaffold150	1629860	1633433	1
CGI_10028847	4	scaffold22	362448	382516	1
CGI_10028929	4	scaffold22	1709615	1726578	1
CGI_10003298	3	scaffold1455	1843	13113	1
CGI_10003316	3	scaffold1690	9012	65265	-1
